4x9e:A:A1	A_A H69 H117 D268
3stp:A:A1	A_A E214 E240 E266
3sy8:A:A1	A_A E175 N233 E265 D295
3mga:B:B1	B_B W314 H317 T320 E323
1eyz:A:A1	A_A E267 E279
4dn1:A:A1	A_A D214 E240 E266
3ii9:C:C1	C_C L205 S206
1t3n:B:B1	B_B D454 L455 D546
3mwc:A:A1	A_A D210 E235 D260 K284
3aql:A:A1	A_A D71 E108
5c0y:B:B1	B_B D238 L239 E240 Q255 D365
4dgt:B:B1_B2	B_B P312 L314:B_B K160 H193
3ssm:A:A1	A_A D275 E303 D304
3kki:A:A1	A_A H205 R358
3v5c:A:A1	A_A E238 D261
1cqi:B:B1	B_B N199 D213
1miv:A:A1	A_A D40 A77
3nc3:B:B1_B2	B_B H248 N251 N252:B_B S63 V65 N229
2wvl:A:A1	A_A D169 N313
4ty0:A:A1_A2	A_A D132 D134 D194:A_A D132 D134
4hch:A:A1_A2	A_A D206 E232 E258:A_A S247 L250
1dj9:A:A1	A_A H133 S179 H207
1wuu:A:A1	A_A S140 S142
2r42:A:A1	A_A G144 S146 A147 E193 D204
4zgy:A:A1	A_A G237 F238 G276 R277 Y278
3kgx:A:A1	A_A H319 H323 D396
3k5h:A:A1	A_A E254 E267
3cin:A:A1	A_A N189 P354 P356 A357 E359
4bpw:A:A1_A2	A_A D109 D111 D306 V309:A_A D109 D111
2pnq:A:A1_A2	A_A D73 G74:A_A D73 D347 D445
1od5:A:B1	A_B H383 E432 Y441
3zvm:A:A1_A2	A_A D170 D172 D288:A_A S378 D396
3hwo:A:A1_A2	A_A E241 G363 E376:A_A T140 T142 V145 D146
3eaf:A:A1	A_A E366 D381 Y382
4pb4:A:A1	A_A K43 C353
2ybb:4:41	4_4 V223 A384 K386 E388
3mqt:K:K1	K_K K172 D206 E233 E259
3ty9:A:A1	A_A T731 D734 I737 M738
2qgy:A:A1	A_A D198 E224 E250
3oyz:A:A1	A_A E158 D192
3mbo:E:E1	E_E E282 F284
4tx8:A:A1	A_A R330 A333 F337
1y8o:A:A1	A_A E247 K250 N251
2oqy:A:A1_A2	A_A D193 E221 H246:A_A D42 H45 T297
4ag5:A:A1	A_A S251 E274
2gge:B:B1	B_B E217 E243 H293
3fv9:F:F1	F_F D198 E224 D247
3m6z:A:A1_A2	A_A S210 V211 A327 V349 N350 R351:A_A E266 L269
1g29:1:11_12_13_14_21	1_1 R290 E292 D293 K359:1_1 Q59 D69 E71 K72:1_1 Y228 D229:1_1 S341 E342:1_2 K79 D80
3tep:A:A1	A_A D234 D246
3dgb:A:A1	A_A D200 N202 E226 D251 E252
4fi1:A:A1_A2	A_A N200 D214:A_A H187 T353 A354
2vhw:A:A1	A_A E323 H327
3slr:A:A1_A2	A_A D228 D230 D336:A_A D228 S279
1vrp:A:A1	A_A W228 E232
3hiy:A:A1	A_A S54 D65 D67
3wqt:A:A1	A_A S13 T38 I41 E209
4gbf:A:A1_A2	A_A H717 A718 G719:A_A N749 N754
4bac:A:A1	A_A D128 D185 F190
4ak6:A:A1	A_A T165 Q180
2qby:B:B1	B_B T69 D150 N182
3q45:A:A1	A_A D190 N192 E216 D241 E242
3t8q:A:A1	A_A D183 E209 E235 H285
2ewg:A:A1_A2_A3	A_A D103 D107:A_A D103 D107 Q172:A_A D255 D273
4ams:A:A1_A2	A_A D44 D46 D191:A_A G33 S34 D44
2i71:A:A1	A_A K68 V86 V87 Y105
4kys:A:A1	A_A D201 D205 N295 I296
3auy:A:A1	A_A S39 D946 E947
1so2:D:D1_D2	D_D H741 H821 D822 D937:D_D H821 D822
3i6t:B:B1	B_B D196 N198 E222 D247
3fnb:A:A1	A_A R366 K367 F368 S369 S372
3glf:B:B1	B_B T52 D126 E127
3orq:A:A1	A_A E254 E267
2zrw:A:A1	A_A R98 E161
3e2v:A:A1	A_A H277 D327
4nv3:A:A1	A_A P160 G163 V166 I388
3uoa:C:C1	C_C E388 E437
1svl:A:A1	A_A T433 E473
3ugv:A:A1_A2	A_A K171 D202 E228 E254:A_A R243 L246
3h7c:X:X1	X_X S95 D119 W120 S143
3dty:A:A1	A_A E122 N126
4nm5:A:A1_A2	A_A N186 D200:A_A K85 D200 G202
3ef0:A:A1	A_A D170 D172 D298
1ehi:A:A1_A2	A_A E316 N318:A_A D303 E316
2c5u:A:A1	A_A G269 D272
1jms:A:A1	A_A D343 D345 D434
2dqb:C:C1	C_C Q63 H79 D109 D196 Y200
1y9a:C:C1	C_C G167 D237
4j7l:A:A1_A2	A_A D236 E253 L254:A_A E234 D236
3ivs:A:A1	A_A E222 D248
3mes:B:B1	B_B E271 E304 Y307 Y309
3qf7:A:A1	A_A S37 Q142
1w23:B:B1	B_B Y127 Q128 Y154 T156 V286 G287 H288 A289 N302
4i4t:F:F1_F2	F_F D318 I330:F_F E331 N333
1gol:A:A1	A_A N152 D165
3pnl:A:B1	A_B F78 T79
4dtf:A:A1_A2	A_A E16 Q162 E339:A_A E16 E78 V80
3wnb:A:A1	A_A R14 T15 D46 H48
4brn:A:A1	A_A F140 Q143 W146
5eks:A:A1	A_A E183 H246 H263
3r0u:A:A1_A2	A_A D192 E220 D245:A_A T235 S238
1k9y:A:A1_A2	A_A E72 D142 I144 D145:A_A D142 D145 D294
1tt4:A:A1	A_A E17 H136 E237
2fgl:A:A1_A2	A_A N292 R351 D354:A_A S18 D302 L305 S306
1jfg:B:B1_B2_B3	B_B N225 S229 E233:B_B D100 R304:B_B D100 E164 N185
1zsh:A:A1	A_A P175 E176 Y209
3qqv:A:A1_A2	A_A D108 D112 D194:A_A D108 D112 K271
4ffl:A:A1_A2	A_A E227 E239:A_A E239 D241
4kb6:A:A1	A_A S188 Q200 N202
4wa0:A:A1	A_A D473 V475 S477 L480 E509
2hma:A:A1	A_A S14 G16 D18 S19
3obk:A:A1	A_A R189 E252
3ats:A:A1_A2	A_A E57 D267 E269:A_A D249 R251 N254 D267
5dj3:B:B1	B_B D116 D120
4fma:A:A1_A2	A_A N172 Q286:A_A P305 E306 R308 N310
1q8y:A:A1	A_A N299 D550
1ni4:A:C1	A_C D167 N196 Y198
2qen:A:A1	A_A S45 E136
1agr:A:A1	A_A S47 T181
4rwn:A:A1_A2	A_A D74 D76:A_A D74 D76 D147
5d6o:C:C1	C_C D73 H74
4jrn:A:A1	A_A K411 A413 N414
2zdr:A:A1	A_A E25 H215 H236
4cgk:B:B1	B_B T368 G370 H372
1ezw:A:A1	A_A A53 T56 S57
4g7h:P:P1	P_P A292 G296 W299
3lop:A:A1	A_A A136 T137 K152 Y155 S260
1i3k:A:A1	A_A S312 E316
1dgm:A:A1	A_A A185 H186 I188 A191
4okm:A:A1_A2_A3	A_A D82 E87 K231 R310:A_A D82 E87:A_A N224 S228 E232
2j1n:A:A1	A_A N319 L321 T334
3roj:A:A1_A2	A_A D97 E100 E225:A_A D33 E57 D97 P98 C99
4b43:A:A1	A_A V280 A281 G282 V322 E324 R339
3qqs:A:A1_A2	A_A S119 E252:A_A D251 E252
4ix3:A:A1	A_A D318 D338
4l80:A:A1	A_A E157 D184
4i0u:J:J1	J_J G312 N314
3taw:A:A1	A_A N385 F386
4ocp:A:A1	A_A N213 D228
2r5w:B:B1_B2	B_B G234 G235 E250 E254 D308:B_B E250 E254 D308
3fkq:A:A1	A_A S139 E162
3b5i:A:A1	A_A N179 V183 R265 D266 F268 N269
1zxy:A:A1_A2	A_A T77 G79 S91:A_A D223 E224
1xfi:A:A1_A2	A_A D220 N221 D256:A_A C104 E325
5d92:D:D1_D2	D_D D66 D87 D91:D_D D66 D69 G70 D87
4gp2:A:A1_A2_A3	A_A D85 D89:A_A D85 D89:A_A D225 D229
3h70:A:A1	A_A D171 E196 D219
3vzd:B:B1	B_B G82 D341 G342 E343
3wca:A:A1	A_A D71 E74 D75 Y163
3rf6:A:A1_A2	A_A D21 D298:A_A G134 L135 Q139
3fd5:A:A1_A2	A_A D69 D110 D265:A_A D87 D110
3au0:A:A1_A2	A_A N216 V219 A347:A_A Q400 T482
2dlc:X:X1	X_X A47 T49 Y56 Y101
2foz:A:A1_A2	A_A T60 D61 D62 D300:A_A E25 D298 D300 T301
3fdg:A:A1_A2	A_A E137 H210 H231:A_A H11 D13 E137
3cif:B:B1	B_B C21 R24 I27
1vq9:B:B1	B_B N335 G337
3ijq:B:B1	B_B D224 E251 D276 K298
3a7r:A:A1	A_A K133 V180 R181 S182
3ngo:A:A1	A_A D410 N412 I488 H529
3eyw:A:A1	A_A G406 F407 G408 F410 G411 A470 R496
3r2u:D:D1	D_D H288 E290
4lrs:A:A1	A_A D22 H204 H206
4ay7:A:A1	A_A K273 D313
3hos:A:A1	A_A D156 D249
3w15:A:A1	A_A D65 L66 C110 N111
1gs6:X:X1	X_X E260 T261 I277 R278 S281
3vyt:C:C1_C2_C3_C4	C_C D59 D84:C_C D43 D84 D221:C_C D42 D43 M88 D158 M219:C_C D43 D84
1ne9:A:A1_A2_A3	A_A L150 Y165 F308 V309 K310:A_A T64 T66:A_A L280 N283
3u0o:B:B1	B_B D91 D227 T229
1jcg:A:A1	A_A D9 V315
2o1o:A:A1_A2	A_A D115 D119 Q184 D187:A_A D115 D119
3c9h:A:A1	A_A S41 D43 Y238
3gli:E:D1	E_D E133 R158
3v94:B:B1	B_B D410 E439
1nhi:A:A1	A_A N33 A98
2x5z:A:A1	A_A D109 D260
4rgv:B:B1	B_B D105 D148 S151 N152 A221
4at8:A:A1	A_A V119 D121
3ktn:A:A1	A_A D272 R273 I274 A276 A308 G313
4r8q:A:A1_A2	A_A N922 D946:A_A D917 D946
4lnj:A:A1_A2	A_A T8 T10 S196 T201:A_A A93 V94 S97
1nzb:A:D1	A_D Q156 R159 N160
1lnz:A:A1	A_A Q222 G223 G225 L226 G227
1n67:A:A1_A2_A3	A_A N267 A269 V323:A_A A441 L444:A_A K281 L283 N284 D340
2ejw:A:A1	A_A E121 V124 M125 A126 T128 A130
4bl0:A:A1	A_A D198 V199 I257 E258
4dn5:A:A1	A_A N520 D534
4imm:A:A1	A_A V196 R197 G198 D251 T289
1eyi:A:A1_A2	A_A E97 D118 L120 D121:A_A D118 D121 E280
3jvv:A:A1	A_A S137 E163
4ifu:A:A1	A_A A162 D284 T288
3qr3:B:B1	B_B H49 W314
4u0z:C:C1	C_C D367 R371
3i0o:A:A1	A_A N217 D230
3dlz:A:A1	A_A W652 D716 Q718 Y747 K751
2vfj:D:D1	D_D E300 E311
4i9g:A:A1	A_A D14 D16 D209
4rsr:A:A1	A_A D289 Y290 G291 Q292 V320 D321 R322
3gve:A:A1	A_A D61 N105 H213 H246
3rt0:A:A1	A_A D243 D432 D492
1mau:A:A1	A_A Q9 K111
1sxj:D:D1	D_D T72 D140 E141
3dyl:B:B1	B_B D293 H325
3aq0:C:C1_C2	C_C D107 D111 E169 E172:C_C D107 D108 D111 R116
4as2:A:A1	A_A D31 D33 D262
2ikf:A:A1	A_A D66 D68
4kav:A:A1	A_A C286 S289 F291
2dh4:A:A1	A_A D80 D84
4fmm:B:B1_B2	B_B W84 Y93 H232 P234:B_B K26 Y150 F187 K311
3aqc:D:D1_D2_D3	D_D D84 D88:D_D D84 D88 E146:D_D D211 K225
2yor:A:A1	A_A E122 G123 S126
2ddx:A:A1	A_A L1 G3 V4 L5 S150 D177
4ojj:C:C1	C_C E674 I722
2j5v:A:A1	A_A K10 G12 V15 L168
4y0x:A:A1	A_A N281 D293
1yxo:B:A1	B_A H1165 H1265
5dz2:A:A1	A_A N229 S233 E237
1rzr:A:A1	A_A N101 D103 K104
1fhv:A:A1	A_A D161 E190 D213
4bga:C:C1	C_C D165 E326
3fqd:B:B1	B_B E150 D201 E239 L240
3htw:A:A1_A2_A3	A_A R401 T406:A_A Q266 G294 D296:A_A D399 R402 R403
3edv:B:B1	B_B N1704 D1708
4r74:B:B1	B_B N241 D243 N244
2qm1:A:A1	A_A N113 A115 N116 G145
2zgy:A:A1	A_A D7 Q73 T101
3u5z:B:B1	B_B T57 D107 E108
3t7a:A:A1_A2_A3	A_A D321 N323:A_A D309 D321:A_A S68 F70 I73
1t8q:A:A1	A_A E63 D65 E171
2qdf:A:A1	A_A F99 N102 D107
3h7v:A:A1	A_A D165 E194 D219
3f1y:A:A1	A_A Q299 D302
2hcb:B:B1	B_B T126 D181
2c9e:A:A1	A_A S71 D75 D223
3v1v:A:A1	A_A N345 S349 E353
4ev6:E:E1_E2_E3_E4	E_E R66 V67:E_E D54 I57 E68 D70:E_E L151 M230:E_E V67 L200 K204
3caw:A:A1	A_A D155 E184 D206
2hvq:A:A1_A2	A_A K35 H37 E204:A_A I162 K163 L164 N166 Y206
1gkz:A:A1	A_A N249 H334
1a77:A:A1_A2	A_A E152 E154:A_A E154 D175 D224
3n6q:D:D1	D_D H38 E75
1gsa:A:A1_A2	A_A D273 E281:A_A M165 E281 N283
2e89:C:C1	C_C D36 A132 H134 D137
3eqg:A:A1	A_A S194 N195 D208
5exe:C:C1_C2	C_C D110 N138 S140:C_C D130 L211 Q213
4fk9:A:A1_A2_A3	A_A G276 D283 P284 E286:A_A H36 H38:A_A T85 R123
1hqc:A:A1	A_A T52 D97
2a87:A:A1	A_A G249 H250 R295
1y8a:A:A1	A_A D5 E7 D207
2f1h:A:A1	A_A Q98 S99 N242 D246
4f99:A:A1	A_A N182 D196
2ajr:A:A1	A_A H255 A292 R295 E297
3al5:B:B1	B_B H160 D162 H235
1z2n:X:X1	X_X D275 D289
2onk:E:E1	E_E E167 P173 D177
1jqv:A:A1	A_A K33 S35
4xrp:A:A1	A_A D183 D185 D288 R289
4fwi:B:B1	B_B S48 Q97 D179 E180 V211
3b1r:D:D1	D_D E184 R213
3dev:A:A1	A_A D29 D83 H106 D158
2vpn:B:B1	B_B E27 S30
2qvh:A:A1	A_A D130 E156 D179
1ze1:A:A1	A_A H17 H34
2dcn:B:B1	B_B N164 R166
1u5r:A:A1	A_A N156 D169
3c9u:A:A1_A2_A3	A_A D27 D71 R142 D207:A_A D27 T41 D71:A_A D43 D71
4aui:A:A1	A_A K9 E107
2d0b:A:A1	A_A D97 E98 D202
2haw:A:A1_A2_A3	A_A H9 D13 D75:A_A D15 D75 H97 D149:A_A D13 D149
5d9b:A:A1	A_A E18 N160 D212
2ppq:A:A1	A_A K116 D204
1rk2:B:B1	B_B D249 A285 V286 R288
5eke:C:C1	C_C D93 D95 Q97
3uqe:A:A1	A_A D166 E190
4xwo:T:T1	T_T T32 N61
3keu:B:B1	B_B V115 D235
1obg:A:A1	A_A P238 D239 D259 K260 Y292
2zxu:B:B1	B_B T24 A55
1esn:A:A1	A_A S102 E199
1w49:A:A1	A_A T137 D189
2hmc:A:A1_A2	A_A T180 R182 D184 V186:A_A A80 I104 P105 H120
3rv0:B:B1	B_B E147 D221 E224
2v9j:E:E1	E_E I87 R151
1ea6:A:A1	A_A E41 N45
4bkm:A:A1	A_A D25 D27 D247 D252
4iik:A:A1_A2	A_A D110 G111:A_A D110 D326
3shs:A:A1	A_A E111 H113
2wef:A:A1_A2	A_A D117 D120 D247:A_A E74 D117 L119
3q1o:A:A1	A_A D92 D98
3iev:A:A1	A_A S17 T38
3g2f:A:A1	A_A N338 D351
3a4w:A:A1	A_A Y494 L495 C496 Y509
3tdv:A:A1_A2	A_A H201 D218:A_A R32 Q51 E55
2hv6:A:A1	A_A G208 D214
4lox:A:A1_A2	A_A A19 D179:A_A E20 G178 D179
3j7y:E:E1	E_E T234 H237
3mwb:B:B1	B_B A158 Q161 L164
4zck:A:A1_A2	A_A N485 D573:A_A G481 E570 I572
3shq:A:A1	A_A D146 D148 D255
4jn9:A:A1	A_A S90 H91 G92 V93 Q96 D97
4ork:A:A1_A2	A_A H205 D219:A_A D200 D219
1izc:A:A1	A_A E185 D211
4e6e:A:A1	A_A T195 I198
4nv0:A:A1	A_A D55 D57 D245
3n7x:A:A1	A_A H77 W78 F232 C323 Y324
2izs:A:A1	A_A D162 K164 D185
2ei3:A:A1	A_A E177 D199
4ptn:A:A1	A_A P20 G57
4h2u:B:B1	B_B R159 P216
2o06:A:A1	A_A H91 D168 D200 G201
4j00:B:B1	B_B H281 D283
1o4z:B:B1	B_B V239 K242
2g9z:A:A1_A2_A3	A_A D78 D113 D115 D142:A_A D113 D115:A_A D113 Y140 N141 D142 K145
1fwk:D:D1	D_D S98 S134
3akk:A:A1	A_A N160 D179
1xxx:A:A1	A_A A162 H164 I167
2cw6:A:A1	A_A D42 H233 H235 N275
4n57:A:A1_A2	A_A H202 D217:A_A D217 D220
2pa4:D:D1	D_D K35 D142
3eue:A:A1	A_A D212 F213 Y214
1zbu:B:B1_B2	B_B D134 F135 D234:B_B D134 E136 D298
3zxd:B:B1	B_B S59 T66
3wqm:A:A1	A_A D34 G35
1y37:A:A1	A_A Y77 S78 F79 M82 D211 A214 D219
3reu:A:A1_A2	A_A E215 S218:A_A A54 E215
4fk1:A:A1	A_A T42 N44 D137
2z2p:A:A1_A2	A_A E268 E284:A_A D67 E69 W71 D127
2a0i:A:A1	A_A H146 H157 H159
2qv7:A:A1	A_A K213 D216 Y218
4jx0:A:A1	A_A S231 D234 N236 N337 E338
3r3s:A:A1	A_A D58 S59 E84
1m1b:A:A1	A_A D85 R159
4qdg:B:B1_B2	B_B D64 C65 G111 C114 H152:B_B N179 L301 D302 E304 S305
2q1a:X:X1	X_X E143 E145 D164 K182
3pkp:A:A1	A_A R16 D111 D226
4zev:A:A1	A_A D29 D238
3cis:B:B1	B_B D198 V277
4mzu:B:B1	B_B G58 N76
4tq4:D:D1_D2	D_D N68 D72 D76 K146:D_D D198 D202
1d3y:A:A1	A_A E197 D249
2prn:A:A1	A_A S28 D57
4qxd:B:B1_B2	B_B E68 D106 L108 D109:B_B E68 D106 D109 D223
